x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,CATG
16.12544,-5.626546,-3.668029,13.2307625,-9.27542,0.9601042,9.182044,-9.474146,-3.354379,7.185219,-8.107015,0.77574503,5.114171,-7.4222517,0.75180227,2.727079,-7.161276,-2.8611584,5.7175283,-9.064724,-3.0383348,10.158908,-10.218765,-1.472479,10.185245,-5.39909,-0.7805336,10.702409,-6.941003,-2.456526,13.683281,-6.1532865,-0.845179,15.862071,-3.459727,-1.0798179,14.432689,-6.091035,-1.3192455,12.383189,-12.244322,-1.2091088,8.8636055,-8.92825,0.5123748,5.0064287,-8.889942,-0.27294734,2.3679378,-7.307327,-1.7214836,5.4493694,-8.707977,-0.83081335,9.517242,-8.032792,-3.0239692,9.179649,-5.8947043,-2.2458298,8.834874,-6.454965,-3.0694604,13.403151,-7.5443597,-0.30886146,16.680912,-3.3759274,1.2043202,14.913938,-6.1317377,-1.515576,13.695251,-10.00328,-1.2713599,10.017646,-8.490098,-1.5107874,6.941003,-8.583475,-0.52674043,2.2601955,-8.45179,-2.1189332,3.9792848,-8.786988,0.5123748,6.7446723,-9.294575,-1.2857256,10.989721,-9.09585,-3.0215747,9.215564,-5.193182,-1.3934679,11.566742,-7.4102807,-2.3846977,15.428707,-4.07745,0.09337672,14.696059,-4.2187123,-1.3096683,13.908342,-8.231517,-1.3192455,11.099858,-11.78462,-0.409421,7.7239304,-9.227535,0.014365649,2.3344178,-7.989695,-1.3168511,2.6791935,-7.249864,-0.89067024,6.6967864,-10.197216,-1.3144568,11.892363,-9.57231,-3.45015,10.005674,-6.2514515,-1.1181264,8.885154,-5.90907,-2.6073654,12.184464,-5.727105,-1.063058,16.06319,-4.000833,0.12210801,13.63779,-6.936214,-0.9816527,12.773457,-12.112637,-0.39505535,9.390346,-8.241094,-0.1699935,6.3567996,-8.597841,-0.45012367,Walking
11.466182,-5.5810547,-1.0510867,12.088694,-6.359194,0.45730647,13.812572,-3.675212,-0.19633053,16.58993,-6.0000525,-2.7845416,15.028863,-11.387171,1.802889,10.585089,-10.929865,-0.9577099,6.8859344,-10.455798,-0.600963,1.7621863,-8.245882,-0.3974496,2.047105,-7.867587,0.023942748,5.8779445,-9.924269,-1.2546,11.95222,-11.983345,-2.248224,11.152532,-6.577073,-1.759792,11.12859,-7.9681463,-0.8356019,14.705636,-4.276175,-0.5961744,15.907562,-4.573065,-0.69912827,15.373638,-8.791777,-1.7262721,9.98652,-14.09749,0.34477556,6.8069234,-9.349643,-0.14605077,3.2035396,-8.035186,-1.8364087,1.6544439,-7.7742105,0.2083019,4.975303,-9.91948,-1.1971374,11.047184,-11.157321,-0.39505535,11.329708,-7.680834,-1.4964218,10.170879,-6.201172,-3.1772027,12.706416,-5.7462597,-1.8435916,15.203645,-3.7590115,-0.8284191,14.406351,-8.339259,0.057462595,13.149357,-12.706416,-0.44054657,9.086273,-10.075109,1.211503,5.1189594,-9.117398,-0.6368771,0.88588166,-8.830086,-0.4285752,2.7989073,-8.889942,-0.7446195,7.063111,-12.546,-1.6664152,12.3257265,-9.431048,-1.3814965,10.776631,-5.480495,-3.258608,10.695226,-5.5283804,-1.2043202,13.901159,-4.8747435,-0.9481328,16.549227,-7.106208,-2.8563697,14.526065,-12.701628,-0.57223165,8.351231,-10.599455,0.6392714,3.799714,-8.655303,-2.1644244,1.4293821,-8.547561,0.36392978,2.5427198,-8.786988,-0.083799616,6.56989,-10.599455,-1.7502149,12.804582,-12.409526,-1.5993756,8.360807,-7.0367737,-0.9601042,9.09585,-7.778999,-2.2769554,11.727158,-7.168459,0.06464542,17.023294,-5.834848,-0.7901107,13.472585,-10.678466,-0.6440599,Walking
10.59706,-5.9042816,-1.4916332,9.9889145,-7.642525,-3.1772027,13.328928,-5.3512044,-1.3862851,15.464621,-4.6065845,1.594587,13.465402,-7.048745,-4.2594147,11.506885,-11.686456,0.7206767,8.415876,-9.091062,1.2162915,3.213117,-9.366403,0.09337672,1.3216397,-7.5898514,-1.2210802,3.9601305,-10.486923,0.29210153,11.1142235,-11.626598,-3.2298768,10.051166,-7.273807,-0.7948992,8.980925,-5.9114647,-2.6097596,11.150138,-6.5555243,-1.5227587,15.589124,-4.7933383,-1.7023294,14.274667,-9.816526,-0.5889916,11.423085,-12.974575,-0.33519846,7.9968777,-8.463761,1.4078336,5.097411,-7.7311134,-0.4166038,1.2617828,-8.336864,0.43336374,3.4094474,-9.519637,-0.3902668,8.2027855,-10.376787,0.045491222,11.372806,-9.634562,-3.9313993,9.718362,-4.905869,-2.047105,9.852441,-7.125362,-1.1396748,13.992142,-4.0966043,-0.2561874,15.340118,-8.391933,-0.1699935,13.271465,-11.116618,-0.05027977,8.5331955,-9.857229,1.9585168,6.057515,-8.818114,0.28731298,2.7821474,-7.640131,0.60335726,2.7917244,-8.128563,0.014365649,6.201172,-9.883567,-1.6328955,11.10704,-10.259467,-5.1812105,7.7335076,-5.827665,-1.2138973,9.371192,-8.269825,-2.7294734,13.75032,-6.811712,-1.1899546,14.200444,-5.602603,-0.71588814,13.017673,-9.531608,-2.597788,10.077502,-13.994536,0.1699935,6.1101894,-9.821315,-0.09337672,3.0048149,-8.023215,-0.71828246,1.1492519,-8.063917,-0.5770202,4.170827,-9.845258,-1.350371,10.913105,-11.827718,-0.67757976,10.63058,-6.689604,-1.4868447,8.480521,-6.3998966,-2.030345,9.708784,-7.161276,-0.6392714,14.401563,-5.715134,-0.031125572,13.664126,-5.147691,-1.9202085,Walking
1.5467016,-8.734315,2.1931558,7.4198575,-10.987327,-4.2402606,12.833313,-11.631387,-3.519584,10.673677,-7.0726876,0.7853221,11.250697,-7.805336,-5.6792197,13.577932,-5.087834,0.36871833,16.3098,-5.9976583,-1.5012103,14.997737,-11.487731,0.014365649,10.460587,-13.697646,1.7717633,5.6002088,-10.139753,-0.009577099,3.3400133,-8.789383,0.3519584,1.4796618,-7.18043,-0.021548472,4.017593,-10.034406,-1.0295382,12.227561,-12.720782,-2.631308,11.248303,-6.9745226,-0.3519584,10.144543,-8.18842,-2.8180614,13.338505,-5.767808,0.679974,16.45585,-4.1588554,-0.59378016,13.659338,-8.849239,-1.673598,11.8061695,-13.48695,-0.14126222,7.142122,-9.75667,-0.08619389,4.2594147,-9.28021,1.1971374,2.5187771,-7.537177,-0.67757976,2.7366562,-9.692024,0.59378016,10.032011,-11.8301115,-3.6632404,10.472558,-7.8747697,-1.0008069,10.328901,-7.14691,-2.4972286,12.974575,-6.3472223,-1.4700848,15.790242,-3.6967604,-1.175589,14.830138,-6.8955116,-0.65842557,13.187666,-13.132597,0.7781393,8.226728,-10.190034,0.22745611,5.253039,-8.760652,0.4740664,2.3894863,-8.063917,-1.0032011,3.7494342,-8.114198,-0.42139238,6.7231236,-10.039194,-1.5083932,10.36721,-9.268238,-2.221887,9.138947,-5.7630196,-1.7454263,9.60583,-7.3001437,-1.4748733,15.680106,-4.522785,-0.5913859,15.074354,-6.567496,-1.0846065,13.108655,-9.763853,-0.5123748,10.149331,-7.9561753,0.11971374,5.803722,-9.205987,-0.2753416,1.9465454,-8.559532,-1.1157321,3.1580484,-9.665688,0.6943397,6.857203,-10.644946,0.22506183,10.759871,-9.110215,-2.7462332,7.9585695,-3.8547823,-2.569057,8.118986,-6.28976,-0.82123625,Walking
3.4716985,-8.365596,-2.0159793,1.6520497,-7.6066113,-3.2897336,3.6105664,-10.046377,-4.364763,11.11183,-10.996904,3.7302802,11.040001,-6.2322974,-2.588211,7.0798707,-5.1692395,-2.3942747,7.788576,-7.379155,-0.679974,15.464621,-4.946572,-0.45012367,16.135017,-7.067899,-1.3551595,12.4358635,-9.811738,-0.6153286,9.881172,-9.804555,0.38547826,7.2546525,-8.777411,-0.11253092,2.5092,-8.542772,-0.18914771,2.865947,-8.624178,0.12689656,5.1620564,-10.388759,-0.28252444,12.972181,-9.205987,-6.7231236,8.593052,-5.288953,-0.9960183,11.693638,-7.980118,-1.7526091,14.190866,-4.5970078,-2.4852571,17.420744,-5.2147307,0.56744313,14.863658,-9.11261,-1.0343267,10.530021,-11.9187,0.76616794,6.158075,-9.308941,-0.967287,2.5858169,-7.7502675,-0.17238778,2.9928436,-7.85801,-0.07422252,4.9346004,-9.833286,-1.8507744,11.791803,-10.757477,-1.3910737,10.482135,-4.903475,-1.9728824,8.12138,-7.0295906,-1.6688095,11.01127,-6.715941,-0.4070267,16.814993,-6.0694866,-2.9497466,14.396774,-8.315316,-0.9864412,9.438231,-10.690437,0.67279124,6.6249585,-8.0711,-0.023942748,3.2610023,-8.767835,-0.29928434,3.5890179,-6.881146,0.09577099,4.9705143,-9.787795,0.30646718,11.233937,-10.774237,-2.8396099,8.796566,-5.174028,-2.3966691,8.039975,-5.4158497,-4.4126487,11.6409645,-7.49408,-0.7206767,15.94587,-5.36557,-2.2506182,12.852468,-6.986494,-0.7805336,11.0352125,-10.501289,0.43575802,8.813326,-8.195602,1.4078336,5.564295,-9.433443,0.51955765,3.3902931,-7.3001437,0.39505535,2.7055306,-9.727939,1.3000913,9.4932995,-10.446221,-0.8547561,9.692024,-7.120573,-4.084633,Walking
7.4246464,-9.09585,1.5036045,2.588211,-7.2546525,-2.7079248,1.6352897,-7.257047,3.0814316,5.786962,-11.413508,-3.2705793,13.491738,-10.625792,-0.28970724,9.304152,-5.3009243,1.0079896,8.22194,-7.8891354,0.7709565,11.3344965,-8.360807,0.58420306,16.19248,-5.217125,-0.36392978,15.249136,-6.122161,-2.4158232,11.978557,-12.206013,0.16520496,7.005648,-9.859624,-1.8531687,2.9305923,-8.60263,-0.88588166,2.4613144,-8.396722,-1.6831752,4.7741838,-9.864412,-2.0925963,9.938635,-11.195629,0.9529214,10.376787,-7.5323887,-0.6177229,8.626573,-6.2514515,-0.2561874,9.720756,-7.702382,0.14844504,15.4023695,-4.7119327,0.117319465,16.302618,-5.3081074,-1.0750294,15.100691,-13.417516,-0.84039044,9.950606,-10.97775,-0.7398309,5.087834,-9.387952,-0.6392714,1.934574,-8.628966,-1.1300977,2.430189,-8.516436,-1.4293821,6.4789076,-9.72315,0.6201172,10.690437,-10.913105,-2.0399222,9.938635,-7.5443597,1.4102279,10.819728,-7.4366174,-0.6177229,11.549982,-5.2075477,-2.4780743,13.731166,-5.5188036,-2.1811843,12.814158,-6.3735595,-1.7286664,12.708811,-12.217984,0.42139238,9.830893,-12.112637,1.7382435,3.6225379,-10.309748,0.888276,0.3328042,-7.0774765,-0.36632404,3.2777622,-10.561146,-0.6105401,10.9490185,-9.804555,-0.7302538,10.719169,-8.174054,-1.1971374,10.716774,-6.754249,-2.7151077,12.000105,-6.265817,-1.977671,13.920314,-5.193182,-1.690358,14.44466,-7.649708,-1.6352897,13.474978,-13.98017,-1.759792,8.554744,-9.407105,2.8874955,4.7885494,-9.035994,0.54350036,2.2458298,-7.185219,-0.18675344,3.294522,-8.810931,0.16759923,8.1549,-9.335278,0.23942748,Walking
3.929005,-8.083072,1.4126221,7.613794,-10.187639,-2.6959534,10.618608,-7.474926,2.5020173,9.469357,-7.798153,1.7957062,11.356046,-7.92505,-4.271386,13.882006,-4.992063,1.515576,15.332936,-5.9258304,0.5411061,14.5524025,-11.016058,0.10055954,10.831699,-12.684868,2.257801,7.26423,-10.099051,1.2354459,2.640885,-8.511647,-0.3615355,2.2769554,-7.9513865,0.81165916,4.0128045,-9.931452,1.3000913,11.176475,-9.79019,-5.7821736,8.403905,-6.5555243,-0.5243462,9.957788,-7.980118,-2.8443985,13.893977,-7.4007034,0.4740664,15.792637,-4.3623686,-0.3232271,12.651348,-8.557138,0.74222517,11.81814,-12.806976,0.90024734,9.043176,-9.720756,1.5634614,5.777385,-9.340066,0.22985038,1.5921928,-6.715941,-0.61293435,2.5810282,-7.556331,-0.0023942748,7.3767605,-9.29218,-0.531529,10.855642,-11.358439,-0.14365649,10.462981,-6.941003,0.32801566,10.972961,-7.1732473,-1.6017698,11.370411,-6.1748347,0.55786604,14.566768,-5.607392,-0.4764607,13.597087,-9.165284,-0.043096945,10.7048025,-13.216397,1.5131817,7.953781,-9.775824,0.4070267,3.0431232,-8.042369,-0.3998439,0.90024734,-7.6018224,-0.7972935,2.5570855,-9.37598,-0.14126222,11.068732,-10.846065,-2.4445546,11.286612,-10.455798,0.3232271,11.207601,-6.605804,-0.81644773,10.099051,-7.9609637,-0.14365649,12.90993,-5.3033185,-0.17957062,15.546026,-6.986494,-0.3304099,13.848486,-13.235551,-0.36871833,10.139753,-12.816553,2.4086404,6.526793,-11.171686,-0.05027977,1.8507744,-8.554744,-0.14605077,0.3519584,-7.556331,-0.56265455,4.348003,-9.227535,-1.7262721,12.13179,-13.644972,-3.5219781,10.501289,-7.065505,0.7446195,Walking
9.318518,-5.7127395,-0.09337672,10.668888,-6.610593,-2.9425638,14.267484,-5.2482505,0.9577099,13.802995,-8.298556,-2.667222,12.103059,-11.322526,-0.4166038,8.509253,-9.296969,3.46691,6.761432,-8.923462,-0.9624985,1.9633054,-8.269825,-1.3431882,1.5850099,-8.497281,0.68715686,6.5555243,-10.570724,-1.3862851,10.728745,-11.391959,-0.6296943,9.785401,-5.913859,-2.1237218,10.134965,-7.5922456,-1.4868447,13.154146,-4.8555894,0.47167215,14.078336,-6.656084,-1.5275474,12.275447,-9.452597,-0.9194015,10.173274,-11.346468,0.11253092,8.200391,-10.537204,-0.28013015,1.2474172,-9.035994,-0.2944958,0.27055305,-7.328875,-1.359948,5.2051535,-10.338479,-1.9393626,13.084712,-12.079117,-3.059883,10.431855,-7.336058,0.89545876,8.719949,-6.409474,-2.4708917,10.412702,-7.103813,-0.8284191,13.927497,-5.7103453,0.5794145,13.7814455,-7.553937,-1.8004947,9.866806,-14.212416,0.038308397,8.032792,-9.809344,-0.047885496,4.9346004,-9.866806,-0.052674048,1.9585168,-7.8316727,-0.9696813,1.6233183,-8.296163,-0.10055954,5.705557,-10.642551,0.9505271,11.772649,-10.697619,-3.4860642,7.613794,-6.8452315,0.6081458,8.193209,-7.5084457,-3.74704,10.992116,-8.523619,-0.4764607,15.929111,-6.8356547,-1.8603516,13.225974,-9.481328,0.5794145,8.901914,-12.9314785,1.56825,7.26423,-9.830893,0.7350424,2.4876516,-8.952193,0.2370332,1.3431882,-7.5252056,0.20590763,4.4246197,-10.546781,-1.6089526,11.190841,-10.46777,-1.4772675,9.715967,-7.225921,-0.64166564,8.873182,-7.0942364,-1.9633054,11.013664,-7.9681463,-0.4189981,15.311387,-5.133325,-0.37350687,12.962604,-7.781393,-1.1444633,Walking
6.5555243,-10.024829,-1.7047237,11.300977,-10.7048025,1.7502149,9.581888,-5.770202,-4.4030714,10.067925,-7.142122,0.43336374,13.1206255,-5.9713216,1.0415095,15.608277,-5.621757,-0.0071828244,13.580327,-7.762239,-0.18675344,10.405519,-12.79261,0.3304099,7.6353426,-9.296969,1.036721,3.4381785,-8.348836,-0.07901107,0.7110996,-7.877164,-0.44294083,5.334444,-10.000886,-0.045491222,11.162109,-10.881979,-2.3032923,9.8548355,-6.3352513,0.009577099,9.165284,-6.035967,-2.3296294,11.597867,-7.4701376,0.23224466,16.039248,-4.764607,-0.50998056,13.295408,-7.1493044,-0.50040346,11.57153,-13.568356,0.46209505,8.123775,-9.131764,0.46927786,4.2139235,-8.4781275,-0.84278476,2.5570855,-8.336864,-0.11253092,3.1149516,-9.584282,0.9864412,7.067899,-10.592272,-2.5020173,9.890749,-11.267457,3.059883,10.084685,-6.2682114,-2.5499027,10.022434,-7.953781,-1.3695252,12.866833,-6.3472223,-0.7398309,14.787042,-7.2809896,-1.7957062,12.658531,-10.676071,0.4932206,9.071907,-12.14855,0.43096948,5.8013277,-9.842864,-0.5818088,2.3942747,-8.097438,-0.2561874,1.2761484,-7.7861814,0.009577099,4.810098,-11.636175,-0.047885496,12.081511,-11.099858,-3.8021083,9.584282,-5.688797,-2.0255566,7.580274,-6.1556807,-2.3128695,10.812545,-6.672844,-0.4668836,15.663345,-5.030371,-1.2402344,13.580327,-7.759845,-1.8603516,11.427874,-13.209214,-0.031125572,8.700794,-8.755863,0.7685622,3.6297207,-8.265037,-0.1699935,1.8890828,-7.1732473,-0.4166038,4.522785,-8.492493,-0.69673395,8.93304,-10.6497345,-1.0822122,10.829305,-9.656111,-1.6352897,9.203592,-5.2219133,-1.620924,9.141341,-6.8619914,-0.8786988,Walking
2.1285102,-7.778999,1.3623424,6.656084,-9.775824,-3.2250881,11.217177,-10.477346,0.5818088,10.474953,-6.2083545,-0.09337672,10.688043,-7.2881727,-4.640105,12.498115,-5.504438,1.1947432,14.966612,-5.784568,-2.1332989,13.728772,-9.63935,-0.44054657,9.526819,-11.712792,1.010384,6.5483418,-9.0288105,-1.1277034,2.152453,-8.684034,-0.3304099,0.86193895,-7.8987126,-0.20351335,5.6385174,-10.355239,-1.4437478,12.56276,-11.849266,-2.360755,9.73991,-6.0048413,0.5363176,8.954588,-5.9210415,-2.2721667,11.018453,-6.938608,0.0,15.33533,-5.2243075,-1.1348863,13.036826,-8.356019,-0.30646718,12.261082,-13.577932,0.531529,8.090255,-8.810931,1.2234744,4.4461684,-8.360807,-0.339987,1.2713599,-7.4605603,-1.2330515,3.9673133,-9.857229,1.1612233,9.70639,-9.850046,-0.7134939,10.972961,-8.597841,-1.8914771,8.600235,-4.826858,-1.1875603,9.012051,-6.732701,-1.8004947,13.283437,-5.7630196,-0.9912298,15.014498,-5.7558365,-0.74701375,12.625011,-8.439818,-0.23942748,8.889942,-10.441432,0.4740664,7.312115,-8.197997,-0.7948992,3.162837,-7.6257653,-0.5219519,2.281744,-7.6113997,-0.51716334,5.4254265,-8.169266,-2.4469488,9.522031,-10.853248,0.11971374,10.640158,-6.7997403,-1.0941836,8.473338,-5.1716337,-1.7573977,9.174861,-6.237086,-1.2043202,12.138973,-6.5196104,-0.95531565,12.301784,-7.884347,-0.057462595,6.9481854,-8.751075,-0.7972935,8.279403,-7.2426815,0.749408,6.9098773,-6.577073,-1.2522057,4.817281,-8.095043,-0.047885496,4.0822387,-8.504464,-1.9178141,5.2290964,-10.472558,0.0071828244,9.27542,-9.364009,-3.0527003,7.455772,-5.138114,-0.10774237,Walking
10.084685,-6.4142623,-2.2841382,9.136553,-5.9282246,-1.3048798,9.794978,-5.834848,-2.1069617,14.696059,-5.1452966,0.67757976,12.998518,-10.0368,2.8396099,12.024048,-12.356853,-0.7302538,9.004868,-10.027223,1.9680939,6.6967864,-8.865999,-0.043096945,-0.38547826,-7.161276,-1.211503,2.6720107,-8.296163,-0.8092649,5.3248672,-10.589877,-0.7134939,12.749514,-14.159741,-1.9537282,12.933872,-5.731894,-2.813273,9.972155,-4.862772,-0.27294734,10.065532,-6.074275,1.2905141,15.239559,-6.301731,-1.838803,11.748707,-11.770255,0.8547561,7.091842,-13.032038,2.1668186,6.648901,-10.30017,-0.89545876,3.179597,-8.775017,-0.4189981,1.0127783,-6.8428373,-0.43575802,2.3463893,-9.79019,1.3144568,11.770255,-11.399142,-2.300898,10.118205,-9.167678,4.63771,10.022434,-6.5148215,-2.3056867,9.323306,-7.2019787,0.22745611,13.094289,-5.209942,-0.4932206,13.479767,-9.694419,0.4166038,11.411114,-11.406325,3.0096035,8.351231,-11.561953,2.3535721,6.5842557,-9.320911,0.24900457,-0.16759923,-8.310528,-0.45730647,0.7853221,-8.118986,-0.33519846,6.464542,-11.22436,-0.818842,12.77585,-11.566742,-2.073442,9.253872,-6.265817,-1.1779832,8.166871,-6.699181,-1.8268317,10.872402,-7.683228,0.9026416,14.629019,-5.540352,-1.5754328,12.13179,-8.662486,-0.7015225,10.237919,-12.874016,1.3814965,8.475733,-8.89952,0.5889916,3.8212626,-7.9418097,-1.0965779,2.1500587,-8.755863,-0.38068968,3.806897,-8.545167,1.2737542,8.224334,-9.938635,-1.185166,10.810151,-9.052753,-1.228263,9.222747,-5.1189594,-2.0542877,8.854029,-6.30652,-1.3407938,12.895564,-5.296136,-1.5658557,Walking
